--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Run Date: 29.04.2019  Client  : 100   Bluescope ECC Quality                                                                                                 Page:      1
Run Time: 18:22:06    Co. Code: 1010  SLIAPK-Port Kembla SteelW                                                                            ABAP: ZFR_GRIR_REPORT_ANALYSIS
                                                                      GR/IR Analysis Report (online)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GR/IR Analysis of Creditors - Combined Detail Report for Clearing Date 28.02.2019.

GOODS NOT YET INVOICED



G / L Account:     800200      Trade Pbles-Ext-Accr
Expenditure type:            INVENTORY

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End

  3900556853 /    1  NB    800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                       7458.92-      2344.000              19.03.2018 07.0
  3900571400 /    3  NB    800000     103715     MINTEQ AUSTRALIA PTY LTD              INVENTORY                      30654.00-         0.000              08.10.2018 12.1
  3900577671 /    2  NB    800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                       3038.40-         0.000              28.02.2019 19.0
  3900577671 /    3  NB    800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                       3038.40-        60.000              28.02.2019 24.0
  3900578375 /    3  NB    800000     103548     MORGAN THERMAL CERAMICS               INVENTORY                       1536.00-        24.000              11.02.2019 19.0
  3900578375 /    7  NB    800000     103548     MORGAN THERMAL CERAMICS               INVENTORY                       2611.20-       384.000              11.02.2019 19.0
  3900580976 /    6  NB    800000     103854     BORAL CEMENT LTD                      INVENTORY                      81388.20-      4664.080              30.11.2018 30.1
  3900580976 /    9  NB    800000     103854     BORAL CEMENT LTD                      INVENTORY                     562883.77-     32480.310              28.02.2019 28.0
  3900588283 /    1  NB    800000     103198     MONOCON (AUD & GBP)                   INVENTORY                      24721.14-        20.000              04.02.2019 23.1
  3900588283 /    2  NB    800000     103198     MONOCON (AUD & GBP)                   INVENTORY                      15883.20-        12.000              28.12.2018 23.1
  3900589463 /    1  NB    800000     113566     REFRACTECH AUST PTY LTD               INVENTORY                       4410.00-       180.000              08.02.2019 11.0
  3900589562 /    1  NB    800000     103715     MINTEQ AUSTRALIA PTY LTD              INVENTORY                      39684.24-         0.000              16.01.2019 15.0
  3900591671 /    1  NB    800000     113566     REFRACTECH AUST PTY LTD               INVENTORY                      17114.46-     22000.000              21.02.2019 04.0
  3900593056 /    1  NB    800000     108463     ITOCHU AUSTRALIA LTD (JPY)            INVENTORY                      11361.19-         0.000              19.02.2019 13.0
  3900595178 /    1  NB    800000     113566     REFRACTECH AUST PTY LTD               INVENTORY                      10680.12-       108.000              08.02.2019 28.0
  3900595181 /    1  NB    800000     113566     REFRACTECH AUST PTY LTD               INVENTORY                        705.83-         0.590              08.02.2019 21.0
  3900595955 /    1  NB    800000     108463     ITOCHU AUSTRALIA LTD (JPY)            INVENTORY                        550.89-         0.000              19.02.2019 18.0
  3900596251 /    3  NB    800000     201888     PYROTEK                               INVENTORY                      41068.80-      1656.000              12.02.2019 16.0
  3900596896 /    1  NB    800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                       3429.28-         0.000              28.02.2019 20.0
  3900596897 /    1  NB    800000     103715     MINTEQ AUSTRALIA PTY LTD              INVENTORY                      30033.00-         0.000              27.02.2019 27.0
  3900598372 /    1  NB    800000     113566     REFRACTECH AUST PTY LTD               INVENTORY                       6311.25-       495.000              08.02.2019 04.0
  3900598415 /    1  NB    800000     113566     REFRACTECH AUST PTY LTD               INVENTORY                      11812.50-        35.000              08.02.2019 11.0
  3900598420 /    1  NB    800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                       3080.16-         4.000 MAKENI1      04.02.2019 31.0
  3900600356 /    1  NB    800000     102477     MULFORD PLASTICS PTY LTD              INVENTORY                        385.50-         0.000              07.01.2019 15.0
  3900602158 /    1  NB    800000     201554     TRB BEIJING TRADING CO LTD            INVENTORY                      78736.63-         0.000 MABOGD       25.02.2019 21.0
  3900602164 /    1  NB    800000     104164     FIELD FURNACE REFRACTORIES PTY LTD    INVENTORY                       7040.92-      1920.000              11.02.2019 21.0
  3900605247 /    1  NB    800000     109392     SIMSMETAL LTD                         INVENTORY                     458901.80-         0.000              02.03.2019 28.0
  3900605247 /    5  NB    800000     109392     SIMSMETAL LTD                         INVENTORY                     149759.28-         0.000              02.03.2019 28.0
  3900605269 /    1  NB    800000     109400     SELL & PARKER PTY LTD                 INVENTORY                     500760.65-         0.000              02.03.2019 28.0
  3900605269 /    7  NB    800000     109400     SELL & PARKER PTY LTD                 INVENTORY                       6414.67-         0.000              02.03.2019 28.0
  3900605269 /    8  NB    800000     109400     SELL & PARKER PTY LTD                 INVENTORY                       6491.23-         0.000              02.03.2019 28.0
  3900605269 /    9  NB    800000     109400     SELL & PARKER PTY LTD                 INVENTORY                     249390.00-         0.000              02.03.2019 28.0
  3900605269 /   12  NB    800000     109400     SELL & PARKER PTY LTD                 INVENTORY                       6494.88-         0.000              02.03.2019 31.0
  3900606502 /    1  NB    800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                       1354.49-         0.000              28.02.2019 15.0
